"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27","Dim.  28"
"Excerpt.1",-0.298960254637123,0.539346142131935,0.413415108729706,-0.097613579353157,0.071262336929027,-0.0396869920564275,0.0125562161287175,-0.0740082879073293,0.0702115886571322,-0.0447829662355954,0.0991799452921707,0.0107871367315525,0.076892010757869,-0.0320758738464445,-0.00128345851751769,0.0496814398691923,0.0438651894265563,0.0190570923989743,0.044952020211814,-0.0107682576969756,-0.000554335616304502,-0.00279241197071544,-0.00712553177445743,-0.0136474152229681,-0.0142395158351727,0.00582621196661434,0.00291888623899677,0.00761227737445755
"Excerpt.2",-0.11701094753229,0.385630526596816,-0.0193751021720058,-0.426506743829982,-0.153084134395398,0.287102629375908,-0.0863290648447223,0.0935060607998509,-0.0701259885883942,0.0552128074074218,-0.0717915040396604,-0.0773841648152171,0.0428227921578418,-0.0125898900149374,-0.0143706045607618,0.00278430597005419,0.0531280119099253,0.00786495648706985,0.0157327966291371,0.0157435379765885,-0.00492024427948922,-0.0123363362160798,-0.0317483162669632,-0.00792137448327065,-0.00583781333336799,-0.00764292563736297,-0.00699675719168115,-0.00840699294728089
"Excerpt.3",0.931670855945339,-0.164644586402195,-0.151996139497845,0.00755948927394906,0.150244914308982,0.230512942197199,0.210092454134371,0.0675639046250189,0.0620080339208298,0.0181814087783761,0.0810044750873979,-0.0208312884961537,0.0345826724724807,0.0873601665086158,-0.0766675049691362,-0.00550393146833185,-0.0200648727848993,-0.0646509491848761,-0.00605803660703826,0.00567172069772968,0.025943010287468,0.00820574446991566,-0.00270550698333316,-0.0173467187475129,-0.00294561676880448,0.00416259779248933,-0.0027585669121231,0.00171932740326516
"Excerpt.4",-0.676214290609781,0.0307784799774562,-0.143498617923039,-0.0817322727187511,0.0613383923638214,0.164007125395579,-0.150374780910647,0.0818181467159401,0.0654159192905078,0.0571387233039593,0.0104227439104722,0.0226491990041298,0.0579751638322502,-0.073326629153563,0.0167160693187825,-0.00328423360320147,-0.0309048477684733,-0.0221317462320327,-0.0416501007611839,-0.0118030532920121,0.0162424116614198,-0.0228979966821539,0.0252361219280231,0.00233124371660037,0.0147105502606352,0.00291547242619104,-0.00103563034555754,0.00792377982450626
"Excerpt.5",0.598266181286488,0.336069681311258,-0.27715903161343,-0.216655995443433,-0.135006315647024,-0.0126261225979085,0.153748270163666,0.0189455593656588,0.134059649313017,-0.0912973751645932,-0.0289377954279652,-0.0529012668034047,-0.0497852881998052,-0.0410018499278242,0.0791104701590292,0.0234799054864055,-0.0243712004094981,-0.0218460151304148,0.00730586950601345,-0.0631745640206356,-0.0278637694968311,-0.00305644864143131,-0.00374379691276875,-0.00814386438349959,0.0133878806881685,-0.00265270666592936,0.00807438684421455,-0.00431793237302625
"Excerpt.6",-0.0164207417410697,0.807199886328362,0.113514337264931,0.637612125653848,-0.280008481823899,-0.062601756340228,-0.0207560456462122,-0.0246920084160928,-0.030563495961586,0.125198295319322,-0.0057060005568059,-0.0118797701264628,0.0195157626847191,0.0152177982901352,0.0143422966719421,-5.17659669882598e-05,-0.0217694447475692,-0.0202044379718481,-0.0338275119953685,-0.020924959634958,-0.00514759918371514,0.012862801785352,-0.0138664229221446,-0.0197382348787918,0.000596694803589771,-0.00692878289661224,-0.00515195337527243,0.000749915543269078
"Excerpt.7",0.822648054622044,0.546815302746294,-0.440239970477304,-0.0527986933664511,-0.0293795594906172,-0.26614251309793,-0.198199008163631,-0.00393935000226771,0.00116497638390321,-0.0641217128385396,0.0226133212883015,0.0393811513990446,-0.028432163559776,0.00805048720684185,-0.0585609436424998,-0.00483016917221496,0.00371606263429513,0.0152175564078368,0.02621916488035,0.0138216914841267,0.0277001630670585,-0.011587670219532,-0.00246109704736017,-0.0137070795736864,0.0141784760342557,0.00954128835423649,-0.0055770894981818,-0.00319468968196934
"Excerpt.8",-0.395213118210003,-0.312253166448779,0.0209497492335261,-0.163615072974723,-0.0151870157822501,-0.191471212646882,-0.0181933269414811,-0.0177364730261596,-8.85978072029919e-05,-0.0317298814728113,0.026284221691785,-0.067522478899404,0.00146276567785126,0.0383713426233442,0.0900162001285718,-0.0116890184660775,-0.0867968917041771,-0.0109617687489442,-0.0123096156966498,0.0119404895383609,0.0462195838760505,-0.0240026238813622,-0.0201829141863717,-0.000138184095038649,-0.0275115287425378,-0.00397428195040194,-0.00650442045425904,-0.000913956252386408
"Excerpt.9",-0.428763098048126,0.179126671038691,0.225521697764658,-0.222657682230754,0.0140422904012746,-0.049361710262349,-0.0403090036490248,0.144500040290237,0.0441366616001587,0.0700373700226424,-0.0048486043229567,0.0198737063144294,-0.109250404658601,0.105791816223012,0.0318004556253488,0.0546586672724349,-0.0200825820391813,0.0155208420388456,-0.0172114800461569,0.0496226018069593,-0.035451588528479,0.0100499164609281,0.0166439368602432,-0.0136327005377477,0.00319833688750485,0.00941062779830499,0.00275107108279354,0.00148306603625756
"Excerpt.10",0.622023487185351,-0.446006701532286,0.199550041098898,0.0704547457523076,0.146531565044386,0.102608025033136,-0.0964660491463127,-0.0605396463498645,-0.194496836727225,-0.0165956481544998,0.0326503555341992,0.00120204506095249,-0.0402992242595574,0.00261388956702667,0.0140889795806828,0.0599872882642309,-0.0181662394263446,-0.00997191572705769,0.0113764284782873,-0.0119258714885012,0.0109814555237901,-0.0169057231217218,0.00178041542456737,-0.0174975022175875,0.0125471044982472,-0.0118758563270397,0.0171009029583456,-0.000134953572053366
"Excerpt.11",0.156926379199607,-0.699602257660924,0.0401859825649116,0.0965858214644754,-0.357973670916535,0.0169380600970029,-0.043511360414208,-0.0464339318562451,0.0914733075983462,-0.0813415662694023,0.0204516789838104,0.0190812925434733,0.00582114278670401,-0.0463152901853835,0.0210410831429274,0.0387539139828786,0.0362484660933762,-0.0490720448795334,0.0136550006369238,0.0645404427959265,0.0070088751245402,0.0260959079569,0.0129156097651798,0.000702429594048097,0.00598665055096145,-0.0132989282159262,-0.00619185416478382,-0.00010342242683576
"Excerpt.12",0.246643610844807,0.26904257637333,0.416061110301192,-0.21087348173368,0.019444221473045,-0.124957654618678,-0.09992727699897,0.0270589902928129,0.0368745509104583,0.0122709969410534,-0.105742873092931,0.0027617591934528,0.00173060500261157,-0.00225425269527988,-0.0761303325134984,-0.0157983698389234,-0.0404693530679926,-0.0534467585381666,0.0100202954213548,-0.0226045793937992,0.0104661959406315,0.0290605629927924,0.00747439117484075,0.0243307419332583,-0.0073535224446231,-0.00704946026961517,0.00994160999239403,-0.00115936647067489
"Excerpt.13",-0.782539487334672,-0.0728386493596143,-0.190553487794116,0.121757984053953,0.160182621252123,-0.0132667507614909,0.0749450645441496,0.0080115210292513,-0.0232528881751627,0.0405488361379732,-0.0202065282524695,0.00616035003192727,0.0522551220002425,-0.0237200737134939,0.0023893044190426,-0.0137979200097665,-0.0775071262523689,0.00876684586663698,0.0908876183051933,0.0300819155407484,-0.0199254117678389,0.0142962098057998,-0.0204025724614186,0.00476571006352709,0.0162159285046602,-0.00135101885011335,-3.58419405819947e-05,0.000415715460643811
"Excerpt.14",-0.171553663698239,0.0176212645858168,-0.090899633049476,-0.312422529937494,-0.179277068525522,-0.0230453173120841,0.148063666297167,-0.214910174436119,-0.122049447216259,0.0843732350355346,-0.0548268693311291,0.137133715712423,-0.0075338332413332,0.02078610135302,0.0108844692592297,0.0330599765273898,0.011172887159864,-0.057276536157298,0.00362607845125813,-0.0134823007558642,-0.00283007965276313,-0.0162116213713264,0.00486909426135018,0.0144343385945007,0.00138705513893292,0.0127140817049118,-0.00924867841860945,0.00152832600254873
"Excerpt.15",0.532868695043849,-0.340600088993305,0.388614348070429,0.116369060211188,0.178137108316617,-0.161374964449165,0.0771765094525087,0.0808230281695157,-0.0226220803195443,-0.0576180202291745,-0.166883204142086,-0.02926493174969,0.0389388278088972,0.00349776253938398,0.0318022905635416,-0.0512570927748674,0.0546507011079065,-0.0141862723166872,-0.00510937309163587,0.00684091414045381,-0.00408683783001275,-0.0206055005827425,-0.00275008546115299,-0.0129930358280629,0.014463381929904,0.00475634036757467,-0.00875562768895269,0.00591149329985534
"Excerpt.16",-0.469246122662965,0.451273863823792,0.110061009477244,0.385423070273546,-0.0905453013209424,0.23506796689944,-0.00870138207072096,0.0667889118673677,-0.0501875249017492,-0.136484548505728,0.00840386439830109,0.00702933571232581,-0.0845293852940347,0.0106756481642196,0.00900038144046469,-0.0498581677747368,-0.000207534612292784,-0.0278587183016986,0.0514732905407822,0.00117767392939655,-0.00214837277566245,-0.0253908900716028,0.0308542968603137,0.0143192227401348,-0.0146415642210753,0.0098239324158555,-0.000448807696477517,-0.00356531570562896
"Excerpt.18",0.796129911555762,0.223328359766962,-0.298330558598388,-0.159543216338608,-0.0271943379865178,0.0167390500852386,-0.0531244398426332,-0.0427816188465049,-0.110762927752967,-0.0362179448359938,0.0245582823880416,-0.0536187073980093,0.102506588571546,0.0711893339345835,0.0538972335848855,-0.0424646441123162,0.00312749081341318,0.0356847922698512,-0.000411800284714556,-0.00304075565840271,-0.0235824266740681,0.0327743509675932,0.0404529852097424,0.00955703494463748,-0.00664389403973669,-0.00533527369279863,-0.00115478389170719,0.00712175925282141
"Excerpt.19",-0.64827419852276,-0.0916347372292033,-0.0506071960003144,-0.0132708491850466,0.0736045291003131,-0.101564706541903,0.0493195764730489,0.0599898067820023,0.00438878205430824,0.0906965948034921,0.0643260599236828,0.0468474441457904,0.00875748816322017,0.0167815290763766,0.0585959855181071,-0.0563883791691263,0.0828774709859893,-0.00582752817030966,0.00986195935655771,-0.0113774539692176,0.0353093843086026,0.018605395378975,0.00754435375629275,-0.000479272169961634,0.00570718498444903,-0.000375224271987994,0.0120173233255946,-0.00893297759334506
"Excerpt.20",-0.115348672512208,-0.53637790668476,0.0356014165148685,0.131369657146613,-0.24927492995085,-0.12704465944547,0.0865243291016801,0.230912878417934,-0.0968451712434766,-0.022678942248996,0.0455607803011776,-0.0515442732465445,0.054094533428873,-0.00823157668232989,-0.0384099042105078,0.0870954676933314,0.000155324806495883,0.0435503514085911,-0.00766568131614617,-0.0359866576277474,0.0105513380914699,0.00482711351659009,0.000106330481778702,0.0261189989228993,0.00466407446786388,0.0123336303921808,-0.00336389582374297,-0.00166842134929118
"Excerpt.21",0.558960793012052,-0.3176098563016,0.0909432942321173,0.0400896996321353,-0.125142083590812,0.185311004939894,0.0527026381266927,-0.0148497530838457,0.0768857213969477,0.0225270362070331,-0.112175680817952,0.129706050154692,-0.0167416932878899,-0.00439815236556762,0.000427910540309482,-0.011428504926481,-0.0344071664158261,0.116230948950612,0.012866489886982,-0.0160978262577072,0.031847160282398,0.00797820195602506,0.00841649951964443,-0.0120915070120597,-0.00905229369858268,-0.00231233115000099,-0.000742614486628706,-0.0001971645705413
"Excerpt.22",-0.0958834624305994,0.151298248163259,0.0736297881298145,-0.241460058990032,-0.0743334003982762,-0.0194971981336282,0.121875909568928,0.0555445299601972,-0.132458418974409,-0.0567149341212942,0.0868761503747304,0.0275152631237079,-0.102047431890393,-0.12541172991053,-0.0273408354082699,-0.0767869590927681,-0.0164734041933366,0.0123939721646332,-0.049986624958147,0.0186610391837549,-0.00392675549511015,0.0285250353067827,-0.0205538593109615,-0.00957652396352404,-0.00201498810324416,0.00122541921640179,0.00046204760539627,0.00717997277716934
