"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27"
"Excerpt.1",0.344617353212048,-0.272226929689347,0.582347184978488,-0.307286354842776,0.0332905094094233,-0.139481563127566,0.129218679133287,-0.328846818474746,0.158947148643701,0.0311897000087045,0.1234306354861,-0.136023173555255,-0.00969001326641554,-0.0775267456253443,0.11441798812571,0.123718195423282,-0.152185905469436,-0.0933948961359822,-0.0074142032420528,0.0141497058401282,0.012411803281907,0.0108869174699839,0.047974096854193,-0.0591522166788424,-0.0581031936214961,0.0243671996319996,0.0244733295250396
"Excerpt.2",0.0591680229752429,-0.42257285829776,0.421528184620884,-0.250878498514714,-0.0360880599265902,0.174983611743696,0.0947869078939261,0.111973654158634,0.125513503469424,0.111595058507985,-0.19329028898906,0.304235644272269,0.00703390074485861,0.174029916969663,0.157683032320375,-0.014444084778913,0.163785121523969,-0.0341639626460113,0.0416049399666744,-0.00406353891361489,0.00560053023262243,0.0241361099739694,0.0112142471505552,0.0261938654644165,0.00867915718300771,-0.0370238532559156,-0.0496730233870916
"Excerpt.3",-0.423909610828758,-0.563156839695783,-0.0181085666167963,-0.203535169138115,0.0836526785177092,0.0259362917380607,-0.115349529098263,-0.0588667315146346,0.0724581137528112,0.0635803449193362,-0.0610251144749524,-0.101011089029516,0.0251023601525211,-0.0486248962124023,-0.246845139432068,0.00278726336950308,0.0765544249575789,-0.0826098584411117,0.035056292876795,0.0444246441069969,-0.0936029561568034,-0.0133982979405276,-0.023948063575059,0.041678300617679,0.00890425980256488,-0.0678753704728217,0.0757446770371915
"Excerpt.4",0.594105616129912,-0.0621956689154248,0.240833778094887,-0.0118570935884085,0.178167963901505,-0.400754171299517,0.116857634385122,0.170358699939739,0.100457757726981,-0.0936131513302329,-0.181213725288553,-0.21716147129124,0.0529869454941058,-0.0499450371696883,-0.12739206886466,-0.102419838102044,0.0221536318131096,0.141549203746602,-0.0267528126686161,-0.0538463812296208,0.0719194159342239,0.0415850922664819,0.00380762479562779,0.0487743829653442,0.0464972409845811,-0.0143550326964045,-0.0268664271769072
"Excerpt.5",-0.242267891764105,-0.0589173705538725,0.164025990002619,-0.115485832704851,0.000318730969937613,0.0718371870450958,0.106094925034114,0.266339419300524,-0.229078209952357,-0.0450118955041299,0.0547036816958935,-0.275441836343602,0.124944211169691,0.220361308559229,0.0302744207121672,0.0267739007425215,-0.0421452153106095,-0.13623395952722,0.0150967934208494,-0.0755197175997325,-0.0302859162094579,-0.140916779147356,-0.06497108648929,0.026223040751881,0.0499770367194826,0.0643936599705787,-0.0128460413656863
"Excerpt.7",-0.383674034327671,0.324816447904167,0.196747989669743,-0.152564281885357,-0.237033636264335,-0.284875113490003,0.135305756734219,0.0974485244747628,-0.0651124421470805,-0.145926072971167,0.191142355995655,0.161023434683933,-0.364248816549651,0.0254437172579779,-0.0205113879678024,-0.0215686455168547,-0.0865909115754487,-0.0142315548692882,-0.0353725009583587,0.0252935884474682,-0.0768573380961637,0.0811444783861897,-0.062488824171353,0.0826804998651187,0.023083825340583,-0.00348976652476817,0.00612150164607504
"Excerpt.8",0.145862004023057,0.266973752637814,-0.143752394608212,-0.00771468363965191,-0.318309367958738,0.105351096488594,0.0487432050106578,-0.0327494228065128,0.213442399158415,-0.166667202378427,0.0894510892120078,-0.00341812297934112,0.14629433256359,0.0145230639202548,-0.0574614011624895,-0.0702486132913517,0.0807833244596669,-0.135684181190153,0.065193967479283,0.129082899332321,0.10894663909311,0.0728516018108445,0.046172030308643,0.00055128149910045,0.0787218914253064,0.0398694427521094,0.0192018106531625
"Excerpt.9",0.11448166227401,0.224514162119407,0.166785586904656,0.192120735148038,-0.401667657619107,0.189112381919235,-0.01534528635689,0.0089049125994837,0.021781288365612,-0.074167177872044,-0.108566552887163,0.0328103694147785,-0.106800876845515,-0.121466346189587,-0.0571856580974426,-0.126281235542721,0.0545446582518326,-0.118327190525148,-0.154645994910518,-0.236352883215217,0.0859506099828651,-0.0536407384751376,-0.0460137423772728,-0.0662569536058112,-0.042586495813186,-0.0350275295615863,0.034317823468034
"Excerpt.10",-0.429122082012888,0.236609142929775,0.0634167614646571,-0.0769351721022895,0.191916141913339,-0.33969849499161,-0.552362879360133,0.151971401948587,-0.00663971217365683,-0.0933774645214332,0.097002763231457,0.0966826568025916,0.0383152251612212,-0.00828849029002037,0.0877410831573585,0.0306819077829454,0.0617652377277266,-0.0340470478435223,0.0406785335500689,-0.0838620076345935,0.0346643520033013,-0.0388850531604295,0.142646728263642,-0.0277860094804192,0.0128850724815045,-0.00834254149292405,0.0105668970570787
"Excerpt.11",-0.185154846625623,-0.516616381822421,-0.232332381924668,0.246977576005286,0.0630508351723653,-0.0136936054342814,0.0687617111167927,0.208804328415513,0.0795933435731771,-0.0618325386797176,0.219913567900522,0.0153865184770579,0.139728840148903,-0.0422006330871858,-0.025098599104345,0.113278436013575,0.101612469841122,-0.0209850133874441,-0.150690170055105,-0.0420317546460336,-0.00659530510183141,0.112696348348771,-0.00297579423298637,0.0317137083278988,-0.0987850983927431,0.0417921119970105,-0.0283467307189297
